Allentsteig,Zwettl,Niederösterreich,1380,2.163,1.998,1.732
Altheim,Braunau am Inn,Oberösterreich,2003,4.875,4.784,5.064
Althofen St. Veit an der,Glan,Kärnten,1993,4.732,4.656,4.826
Amstetten,Amstetten,Niederösterreich,1897,22.595,22.847,23.902
Ansfelden,Linz-Land,Oberösterreich,1988,14.789,15.716,18.145
Attnang-Puchheim,Vöcklabruck,Oberösterreich,1990,8.756,8.862,9.201
Bad Aussee,Liezen,Steiermark,1994,5.086,4.879,5.016
Bad Hall,Steyr-Land,Oberösterreich,2001,4.752,4.773,5.746
Bad Ischl,Gmunden,Oberösterreich,1940,14.081,13.876,14.228
Bad Leonfelden,Urfahr-Umgebung,Oberösterreich,2001,3.847,4.086,4.404
Bad Radkersburg,Südoststeiermark,Steiermark,1299,1.599,1.332,3.235
Bad St. Leonhard im Lavanttal,Wolfsberg,Kärnten,1325,4.816,4.528,4.289
Bad Vöslau,Baden,Niederösterreich,1954,10.998,11.316,12.396
Baden,Baden,Niederösterreich,1480,24.502,25.093,26.017
Bärnbach,Voitsberg,Steiermark,1977,4.917,5.272,5.775
Berndorf,Baden,Niederösterreich,1900,8.642,8.810,8.956
Bischofshofen,St. Johann im Pongau,Salzburg,2000,10.087,10.286,10.658
Bleiburg,Völkermarkt,Kärnten,1370,4.083,3.896,4.103
Bludenz,Bludenz,Vorarlberg,1329,13.701,13.701,15.029
Braunau am Inn,Braunau am Inn,Oberösterreich,1260,16.337,16.197,17.572
Bregenz,Bregenz,Vorarlberg,1363,26.752,27.831,29.620
Bruck an der Leitha Bruck an der,Leitha,Niederösterreich,1239,7.311,7.648,8.395
Bruck an der Mur,Bruck-Mürzzuschlag,Steiermark,1277,13.439,12.548,15.970
Deutsch-Wagram,Gänserndorf,Niederösterreich,1984,6.808,7.882,9.174
Deutschlandsberg,Deutschlandsberg,Steiermark,1918,7.983,8.127,11.721
Dornbirn,Dornbirn,Vorarlberg,1901,42.301,45.922,51.222
Drosendorf-Zissersdorf,Horn,Niederösterreich,1310,1.309,1.215,1.206
Dürnstein,Krems,Niederösterreich,1492,931,868,792
Ebenfurth,Wiener Neustadt,Niederösterreich,1515,2.609,2.853,3.142
Ebreichsdorf,Baden,Niederösterreich,2001,8.788,9.976,11.860
